"STATION","NAME","DATE","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-16","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-17","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-18","71","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-19","71","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-20","86","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-21","90","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-22","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-23","82","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-24","72","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-25","67","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-26","66","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-27","72","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-28","71","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-29","73","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-30","83","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-10-01","80","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-10-02","82","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-10-03","87","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-10-04","79","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-10-05","68","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-10-06","66","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-10-07","62","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-10-08","64","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-10-09","72","55"
